subject_id	subject_label	subject_class	predicate_id	object_id	object_label	object_json_path	transform	mapping_justification	comment
schema:conditionsOfAccess	conditionsOfAccess	schema:Dataset	skos:closeMatch	sc:isAccessibleForFree	isAccessibleForFree	$.isAccessibleForFree	accessflag	semapv:ManualMappingCuration	Lossy in both directions: a prose access condition becomes a boolean.
dcterms:bibliographicCitation	bibliographicCitation	schema:Dataset	skos:closeMatch	cr:citeAs	citeAs	$.citeAs	text	semapv:ManualMappingCuration	
schema:distribution	distribution	schema:Dataset	skos:exactMatch	cr:fileObject	distribution	$.distribution	distribution	semapv:ManualMappingCuration	A DataDownload becomes a cr:FileObject; an archive with parts becomes a FileObject plus a FileSet.
schema:variableMeasured	variableMeasured	schema:Dataset	skos:closeMatch	cr:recordSet	recordSet	$.recordSet[*].field[*]	recordset	semapv:ManualMappingCuration	CDIF describes variables of the dataset; Croissant describes fields of a record set, so a record set is synthesised per tabular distribution.
schema:subjectOf	subjectOf	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	The CDIF catalog record. Croissant has no equivalent; its own dct:conformsTo names the Croissant version, not a CDIF profile.
schema:spatialCoverage	spatialCoverage	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no spatial vocabulary.
schema:temporalCoverage	temporalCoverage	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no temporal vocabulary beyond the RAI collection timeframe.
schema:measurementTechnique	measurementTechnique	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:relatedLink	relatedLink	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:additionalType	additionalType	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:contactPoint	contactPoint	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:publishingPrinciples	publishingPrinciples	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
prov:wasGeneratedBy	wasGeneratedBy	schema:Dataset	skos:closeMatch	rai:dataCollection	dataCollection	$.rai:dataCollection	provtext	semapv:ManualMappingCuration	The activity's prov:used prose becomes the Responsible-AI data-collection statement; the structured activity is lost.
prov:wasDerivedFrom	wasDerivedFrom	schema:Dataset	skos:closeMatch	sc:isBasedOn	isBasedOn	$.isBasedOn	iri	semapv:ManualMappingCuration	
dqv:hasQualityMeasurement	hasQualityMeasurement	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no quality vocabulary.
dcterms:relation	relation	schema:Dataset	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:contentUrl	contentUrl	schema:DataDownload	skos:exactMatch	sc:contentUrl	contentUrl	$.distribution[*].contentUrl	iri	semapv:ManualMappingCuration	A nil contentUrl means CDIF recorded the access point as knowably absent.
schema:name	name	schema:DataDownload	skos:exactMatch	sc:name	name	$.distribution[*].name	text	semapv:ManualMappingCuration	Croissant requires a name on every file object; one is derived from the URL when CDIF gives none.
schema:description	description	schema:DataDownload	skos:exactMatch	sc:description	description	$.distribution[*].description	text	semapv:ManualMappingCuration	
schema:encodingFormat	encodingFormat	schema:DataDownload	skos:exactMatch	sc:encodingFormat	encodingFormat	$.distribution[*].encodingFormat	mediatype	semapv:ManualMappingCuration	Croissant requires it; application/octet-stream is used when CDIF gives none.
schema:contentSize	contentSize	schema:DataDownload	skos:exactMatch	sc:contentSize	contentSize	$.distribution[*].contentSize	size	semapv:ManualMappingCuration	
spdx:checksum	checksum	schema:DataDownload	skos:closeMatch	sc:sha256	sha256	$.distribution[*].sha256	checksum	semapv:ManualMappingCuration	The hex value is taken from the spdx:Checksum; an md5 goes to cr:md5 instead.
schema:hasPart	hasPart	schema:DataDownload	skos:closeMatch	cr:containedIn	containedIn	$.distribution[@id=$item].containedIn	archive	semapv:ManualMappingCuration	INVERSION: each member of the archive's schema:hasPart gets a containedIn pointing back at the archive. The value is written on the member, not on the node that carries hasPart.
dcterms:conformsTo	conformsTo	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant's conformsTo names the Croissant version, not a distribution standard.
schema:documentation	documentation	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:potentialAction	potentialAction	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant does not describe services.
schema:serviceType	serviceType	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant does not describe services.
schema:termsOfService	termsOfService	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant does not describe services.
cdif:hasPhysicalMapping	hasPhysicalMapping	schema:DataDownload	skos:narrowMatch	cr:source	source	$.recordSet[*].field[*].source	mapping	semapv:ManualMappingCuration	The column a variable is read from becomes the field's source extract.
cdif:hasPrimaryKey	hasPrimaryKey	schema:DataDownload	skos:closeMatch	cr:key	key	$.recordSet[*].key	key	semapv:ManualMappingCuration	
cdif:encoding	encoding	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:delimiter	delimiter	schema:DataDownload	skos:closeMatch	cr:separator	separator	$.recordSet[*].field[*].source.extract.separator	text	semapv:ManualMappingCuration	The only CSV dialect property Croissant carries.
cdi:hasHeader	hasHeader	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:isDelimited	isDelimited	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:quoteCharacter	quoteCharacter	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:characterSet	characterSet	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:headerRowCount	headerRowCount	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:skipRows	skipRows	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:lineTerminator	lineTerminator	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:escapeCharacter	escapeCharacter	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:commentPrefix	commentPrefix	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:trim	trim	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
cdi:nullSequence	nullSequence	schema:DataDownload	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no CSV dialect description.
schema:name	name	cdi:InstanceVariable	skos:exactMatch	sc:name	name	$.recordSet[*].field[*].name	text	semapv:ManualMappingCuration	
schema:description	description	cdi:InstanceVariable	skos:exactMatch	sc:description	description	$.recordSet[*].field[*].description	text	semapv:ManualMappingCuration	Croissant requires a description on a field; the name is reused when CDIF gives none.
cdif:physicalDataType	physicalDataType	cdi:InstanceVariable	skos:closeMatch	cr:dataType	dataType	$.recordSet[*].field[*].dataType	datatype	semapv:ManualMappingCuration	An xsd: type becomes Croissant's sc:Float / sc:Integer / sc:Date / sc:Boolean / sc:Text.
cdi:hasIntendedDataType	hasIntendedDataType	cdi:InstanceVariable	skos:closeMatch	cr:dataType	dataType	$.recordSet[*].field[*].dataType	datatype	semapv:ManualMappingCuration	Used when cdif:physicalDataType is absent.
schema:propertyID	propertyID	cdi:InstanceVariable	skos:closeMatch	sc:sameAs	sameAs	$.recordSet[*].field[*].sameAs	iri	semapv:ManualMappingCuration	A variable aligned to an external property; Croissant expresses this as sameAs on the field.
cdi:qualifies	qualifies	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	NOT a foreign key, and not mapped. cdi:qualifies says a variable is metadata ABOUT another variable, not that its values reference them; the FK analog is cdi:has_ForeignKey on the data structure. Mapping it to cr:references was wrong twice over -- wrong correspondence, and it crashed mlcroissant. No code ever emitted it.
schema:alternateName	alternateName	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant fields carry one name.
schema:unitText	unitText	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no unit vocabulary.
schema:unitCode	unitCode	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no unit vocabulary.
schema:minValue	minValue	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant carries no value range.
schema:maxValue	maxValue	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant carries no value range.
cdif:role	role	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant has no component-role vocabulary.
cdif:isDescribedBy_StatisticsCollection	statistics	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant carries no summary statistics.
cdi:takesSubstantiveValuesFrom	takesSubstantiveValuesFrom	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	An enumerated value domain has no Croissant equivalent; the codes are lost.
cdi:takesSentinelValuesFrom	takesSentinelValuesFrom	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Missing-value codes have no Croissant equivalent.
cdif:uses_Concept	uses_Concept	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
cdif:definition	definition	cdi:InstanceVariable	skos:closeMatch	sc:description	description	$.recordSet[*].field[*].description	text	semapv:ManualMappingCuration	Appended to the field description when both are present.
schema:measurementTechnique	measurementTechnique	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	No Croissant equivalent.
schema:name	name	schema:Person	skos:exactMatch	sc:name	name		agent-part	semapv:ManualMappingCuration	Consumed by the agent transform.
schema:identifier	identifier	schema:Person	skos:exactMatch	sc:sameAs	sameAs		agent-part	semapv:ManualMappingCuration	An ORCID or ROR becomes sameAs on the Croissant agent.
schema:url	url	schema:Person	skos:exactMatch	sc:url	url		agent-part	semapv:ManualMappingCuration	
schema:affiliation	affiliation	schema:Person	skos:exactMatch	sc:affiliation	affiliation		agent-part	semapv:ManualMappingCuration	
schema:contactPoint	contactPoint	schema:Person	skos:closeMatch	sc:email	email		agent-part	semapv:ManualMappingCuration	The e-mail is lifted out of the ContactPoint; Croissant has no ContactPoint.
schema:name	name	schema:Organization	skos:exactMatch	sc:name	name		agent-part	semapv:ManualMappingCuration	
schema:identifier	identifier	schema:Organization	skos:exactMatch	sc:sameAs	sameAs		agent-part	semapv:ManualMappingCuration	
schema:url	url	schema:Organization	skos:exactMatch	sc:url	url		agent-part	semapv:ManualMappingCuration	
schema:includedInDataCatalog	includedInDataCatalog	schema:Dataset	skos:exactMatch	sc:includedInDataCatalog	includedInDataCatalog	$.includedInDataCatalog	catalog	semapv:ManualMappingCuration	CDIF puts this on the catalog record; Croissant has it on the dataset. Older CDIF records carry it at the root, and it is read from either.
schema:citeAs	citeAs	schema:Dataset	skos:exactMatch	cr:citeAs	citeAs	$.citeAs	text	semapv:ManualMappingCuration	Not a CDIF property -- it appears in records made before ConvertFromCroissant was corrected to send citeAs to dcterms:bibliographicCitation. Carried back so those records do not lose it.
cdif:statistics	statistics	cdi:InstanceVariable	skos:closeMatch				unmapped	semapv:ManualMappingCuration	Croissant carries no summary statistics.
cdi:has_ForeignKey	has_ForeignKey	cdi:DataStructure	skos:closeMatch	cr:references	references	$.recordSet[*].field[*].references	unmapped	semapv:ManualMappingCuration	The real foreign-key correspondence. DDI-CDI carries it on the data structure (cdi:ForeignKeyComponent: cdi:correspondsTo the local component, cdi:references the target PrimaryKeyComponent); Croissant flattens it to field-to-field. NOT emitted: ConvertToCroissant reads nothing at data-structure level, so the row records the correspondence and the gap.
